"","lat","lon","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cod.me","sat"
"1",71.253724433554,9.58406187892399,2590.74410163339,-18.8807464322327,17.1374043356424,21.7097548795059,-1,-9.83333333333333,66.443611615245,-22.0000022608787,-18.2100023455918,0,18.2749995915219,10.436505005527,30.0115988834068,2500,2950,6.91999984532595,"MODIS"
"2",70.9861388900069,10.1936355538746,2224.38446969697,-15.1857883980364,14.9851322408138,18.735050447063,0,-8.83333333333333,66.156884469697,-20.930002284795,-11.8900024868548,0,14.7499996703118,5.41915639775078,28.0330523144762,1800,2950,3.82499991450459,"MODIS"
"3",70.7297251670718,10.8134691227487,2120.7570977918,-13.5795355721193,15.8341069016006,18.2842487356486,1,-7.83333333333333,65.8514889589905,-19.4400023180991,-9.20000254698095,0,11.789999736473,5.12389379993942,25.3528862768122,1550,2750,3.29999992623925,"MODIS"
"4",70.8153037590577,10.6079185573,1884.72128945601,-11.7973274279582,12.4794750607701,28.4978836669911,-1,-8.16666666666667,63.1149773527932,-18.630002336204,-6.21000261381266,0.637499985750764,11.292499747593,7.11910464039534,35.6224233514706,1100,2750,3.88999991305172,"MODIS"
"5",70.5582459300771,11.2213883811185,1795.16107472263,-10.3195245744237,11.8857453696384,29.6754645684938,0,-7.16666666666667,62.8351030552861,-17.9100023522973,-3.35000267773864,0,10.1199997738004,6.97494364682637,35.5206613573478,900,2750,3.04999993182719,"MODIS"
"6",70.3072119914111,11.8210470683739,1775.22486772487,-9.42921720414107,12.4571400642038,28.6058339049117,1,-6.16666666666667,62.5630168974419,-17.2700023666024,-3.33000267818568,0,9.76999978162348,6.00737958601483,30.8788583460288,650,2750,2.48999994434416,"MODIS"
"7",70.4112940561198,11.5722076320424,NA,NA,NA,NA,-1,-6.58333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"8",70.1672156799806,12.165436831224,NA,NA,NA,NA,0,-5.58333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"9",69.9381507679836,12.7507154109901,NA,NA,NA,NA,1,-4.58333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"10",70.390477643178,11.6219755193087,1733.06359482102,-10.352203481448,9.5484318487751,19.3724438442013,-1,-6.5,63.6777101073676,-18.1400023471564,-3.56000267304478,0,7.49999983236194,4.77939673817926,24.5268699184758,650,2750,1.81999995931983,"MODIS"
"11",70.1475429828712,12.2144076288875,1851.92537909018,-10.7307301144455,9.64018706505565,17.1404620560313,0,-5.5,63.5249492781896,-18.1400023471564,-3.11000268310306,0,7.60999982990324,3.97616245100003,21.6069067165742,900,2750,1.7799999602139,"MODIS"
"12",69.9198795615373,12.7992120102144,1945.31648258284,-10.9531213823259,9.7042816815925,14.3647558874458,1,-4.5,63.3874152455311,-18.1400023471564,-2.89000268802045,0,7.77499982621521,2.66415015971941,18.4325896763077,900,3000,1.43999996781349,"MODIS"
"13",70.0112355937686,12.5567290140928,2148.56446370531,-12.9156254325113,6.23456107408115,11.7574929606229,-1,-4.91666666666667,68.1698374864572,-20.0700023040175,-6.0450026175007,0,4.13249990763143,1.40575928558252,18.43445367045,1350,3000,0,"MODIS"
"14",69.7927815009313,13.1414420252615,2087.890625,-12.3189087272678,4.91710058453868,10.1501952782083,0,-3.91666666666667,68.2032725694445,-18.4700023397803,-5.31000263392923,0,2.24999994970858,0.939765706944413,14.406266545564,1100,3000,0,"MODIS"
"15",69.584905281266,13.75802744567,2064.8590021692,-12.1491998780244,3.48084590918184,9.72830770566274,1,-2.91666666666667,68.3000650759219,-18.3500023424625,-6.95000259727237,0,1.53999996557832,0.85419340619192,5.00999901861378,1350,3000,0,"MODIS"
"16",69.3589043654487,14.5652174924136,1772.5188781014,-10.8109395016803,0,NA,-1,-1.66666666666667,84.1029348411416,-17.8500023536384,-2.68000269271431,0,0,NA,NA,650,2750,0,"MODIS"
"17",69.2151603064974,15.2395466030788,1770.27101769911,-11.8482614303399,0,NA,0,-0.666666666666667,84.3557796143251,-18.9900023281574,-4.27000265717504,0,0,NA,NA,850,2500,0,"MODIS"
"18",69.1502700383122,15.6284433253848,2012.34657039711,-13.7181523568722,0,NA,-1,-0.0833333333333333,92.567134292566,-21.0900022812187,-8.50000256262717,0,0,NA,NA,1100,2750,0,"MODIS"
"19",73.5942942178118,6.07455870744002,2408.3879423329,-20.8143456687692,0,NA,-1,-17.5833333333333,96.9007313237222,-21.8800022635609,-20.8700022861361,0,0,NA,NA,2450,2450,0,"MODIS"
"20",73.2456052851365,6.45587251366708,2427.95345307362,-20.2837108750058,0,NA,0,-16.5833333333333,97.1562964836833,-20.9200022850185,-20.080002303794,0,0,NA,NA,2450,2450,0,"MODIS"
"21",72.9120443706722,6.84937440542918,2439.35468100709,-19.8119944877358,0,NA,1,-15.5833333333333,97.3943461256417,-20.9200022850185,-19.8500023089349,0,0,NA,NA,2450,2450,0,"MODIS"
"22",73.0477526468452,6.6831666662679,2329.40655447299,-19.1760696402077,0,NA,-1,-16,92.316306465899,-20.6300022915005,-18.5800023373216,0,0,NA,NA,2250,2450,0,"MODIS"
"23",72.72205278403,7.08206524025498,1796.20253164557,-13.6092429547559,0,NA,0,-15,92.2981012658228,-19.770002310723,-9.67000253647564,0,0,NA,NA,1300,2450,0,"MODIS"
"24",72.4075642152951,7.49209210034208,NA,NA,NA,NA,1,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"25",73.0206109916106,6.71640821410016,2451.02959309494,-19.6982717554076,0,NA,-1,-15.9166666666667,92.7608640453593,-20.5900022923946,-19.7800023104995,0,0,NA,NA,2450,2700,0,"MODIS"
"26",72.6958454033021,7.11623414526223,2460.47129107202,-18.9911480542327,0,NA,0,-14.9166666666667,92.8176400397746,-20.5400022935122,-19.0900023259222,0,0,NA,NA,2450,2700,0,"MODIS"
"27",72.3828630867263,7.52809058797432,2433.11911357341,-18.0491044935717,0,NA,1,-13.9166666666667,92.9031496410823,-20.0900023035705,-17.9400023516267,0,0,NA,NA,2450,2700,0,"MODIS"
"28",72.5123937382068,7.35541648031304,2545.47022303978,-19.5678714274069,0,NA,-1,-14.3333333333333,86.2849690011481,-21.2100022785365,-19.6600023131817,0,0,NA,NA,2500,2700,0,"MODIS"
"29",72.2099551867448,7.78008000140006,2540.09261515964,-18.995728752766,0,NA,0,-13.3333333333333,86.2315549076774,-21.1800022792071,-18.9500023290515,0,0,NA,NA,2500,2700,0,"MODIS"
"30",71.9243194799617,8.23527894640258,2539.78092783505,-18.5453508617876,0,NA,1,-12.3333333333333,86.1614838544336,-21.1700022794306,-18.5500023379922,0,0,NA,NA,2500,2950,0,"MODIS"
"31",72.0410889752792,8.04077582485662,2675.1387110542,-20.2639374255906,25.8115103065505,36.9940936652684,-1,-12.75,78.7469312846778,-21.9000022631138,-19.8900023080408,5.84499986935407,26.2649994129315,16.1039297520706,45.3962044787089,2700,2950,13.8399996906519,"MODIS"
"32",71.7638252127911,8.52109517473401,2561.48984198646,-19.0459662095258,23.6862206895333,40.135449966547,0,-11.75,78.5547358916479,-21.5600022707134,-18.5000023391098,4.27999990433454,22.9099994879216,21.3603684814494,48.7929096366634,2500,2950,11.6899997387081,"MODIS"
"33",71.49661684646,9.05451759953976,2401.75059952038,-17.3242038042405,21.5260282958342,38.6119179071313,1,-10.75,78.3453956834532,-21.1300022803247,-15.9300023965537,1.75999996066093,19.8399995565414,17.4261091743269,47.7965379319891,2250,2950,9.19999979436397,"MODIS"
"34",71.5849487570135,8.86833179098642,2696.99599465955,-19.9905096489193,14.047489672663,23.0168351918509,-1,-11.0833333333333,71.3646817979528,-21.9900022611022,-19.2200023230165,4.28499990422279,17.4649996096268,13.5300046588547,30.6394209004357,2700,2950,10.5299997646362,"MODIS"
"35",71.320690570243,9.43526755026454,2532.97084683017,-18.2771194195204,11.9372695156893,20.4617808070115,0,-10.0833333333333,71.0710874595095,-21.510002271831,-16.9700023733079,2.58999994210899,14.9299996662885,8.22835849720263,29.386473576889,2250,2950,8.21999981626868,"MODIS"
"36",71.0513353488251,10.0394645106088,2348.48409542744,-16.2884516927172,9.70129202968009,15.8135366375414,1,-9.08333333333333,70.7703926441352,-20.7700022883713,-13.4800024513155,1.02999997697771,11.7599997371435,4.6552112317202,22.5504883240607,2000,2950,4.36499990243465,"MODIS"
"37",71.16377372923,9.78646304856168,2325.79404466501,-16.4306031168143,10.5216239922647,21.6016296836078,-1,-9.5,65.6081458590853,-21.0600022818893,-13.8100024439394,1.87999995797873,11.8099997360259,10.0819419019955,30.1477872436496,2000,2950,6.10999986343086,"MODIS"
"38",70.9007213245323,10.4007770555873,2104.65791466801,-14.1981075432532,8.9508884106955,20.2110347290021,0,-8.5,65.2846408010013,-20.3400022979826,-8.17000257000325,0.839999981224537,10.029999775812,7.78568403304718,29.7313991683344,1350,2950,4.30999990366399,"MODIS"
"39",70.6439855485744,11.0174287519336,1984.52229299363,-12.3337788794105,8.64655066272647,16.5001897709575,1,-7.5,64.9647432024169,-19.5400023158639,-6.08000261671839,0,8.72999980486929,4.55772518471754,24.6707382592436,1100,2950,2.75999993830919,"MODIS"
"40",70.7297251670718,10.8134691227487,1770.59593196146,-10.4914389596999,11.1564600987962,29.6791603778219,-1,-7.83333333333333,62.9000311626907,-18.6900023348629,-3.34000267796216,0,10.2174997716211,8.38507056930505,38.9161461710756,850,2750,3.25999992713332,"MODIS"
"41",70.473743294945,11.4229039702436,1769.7503937962,-9.68251263143006,12.4107435507483,30.3528815003846,0,-6.83333333333333,62.6382515763599,-18.1300023473799,-2.87000268846748,0,10.3699997682124,7.18470466270945,38.8408370409864,650,2750,2.82999993674457,"MODIS"
"42",70.2262337713088,12.0185244382335,1847.96129503408,-9.49430492718514,13.0438492989163,26.2182390003536,1,-5.83333333333333,62.3869588341666,-17.9500023514032,-2.73000269159672,0,9.73999978229403,4.35817009944881,27.5951005949528,900,2750,2.79999993741512,"MODIS"
"43",70.3280284043528,11.7712791811076,1964.46776611694,-11.9298296439496,10.9746719835408,13.5499582177831,-1,-6.25,64.2469219308701,-18.7600023332983,-5.08000263907013,0,9.86749977944419,4.45088794326076,17.1740073614986,1100,2950,2.74999993853271,"MODIS"
"44",70.088524891543,12.361320021878,2055.63293098112,-12.1098025871687,11.2935790833622,12.6264063367015,0,-5.25,64.1192097170972,-18.4100023411214,-5.23000263571737,0,9.35499979089945,3.86473563773776,14.4062838078673,1100,3000,2.61499994155019,"MODIS"
"45",69.8650659421985,12.9447018078873,2058.46569250318,-11.9487790246009,11.2812675766871,10.6754194441847,1,-4.25,64.0093090332805,-18.1900023460388,-5.08000263907013,0,9.13499979581684,2.88441708649957,11.4056002282747,1100,3000,2.11999995261431,"MODIS"
